oddscheck_team_name,db_club_id,db_club_name,match_count,avg_confidence,avg_fuzzy_score
M'gladbach,18,Borussia Mönchengladbach,3,81.08,53
Avellino,2331,AS Avellino 1912,3,81.08,67
Cottbus,25,FC Energie Cottbus,3,81.17,56
Pisa,4172,AC Pisa 1909,3,81.17,50
HamKam,4309,Hamarkameratene,3,81.25,57
Vitesse,499,Vitesse Arnhem,3,81.25,67
Otelul,4959,Otelul Galati,3,81.33,63
Cambuur,133,SC Cambuur Leeuwarden,3,81.33,50
Toluca,1804,Deportivo Toluca,3,81.42,55
Perugia,839,AC Perugia Calcio,3,81.5,58
Reims,1421,Stade Reims,3,81.5,62
Godoy Cruz,12574,CD Godoy Cruz Antonio Tomba,3,81.58,54
Bragantino,8793,Red Bull Bragantino,3,81.58,69
Stabaek,1274,Stabæk Fotball,3,81.58,48
Zenit,964,Zenit St. Petersburg,3,81.58,40
Inverness C,2451,Inverness Caledonian Thistle FC,3,81.58,52
Genk,1184,KRC Genk,3,81.58,67
Dep. Riestra,19775,Club Deportivo Riestra,3,81.67,65
Targu Mures,16650,FCM Targu Mures,3,81.67,85
Lierse,204,Lierse SK (-2018),3,81.67,52
Ham-Kam,4309,Hamarkameratene,3,81.75,55
U Craiova,40812,CS Universitatea Craiova,3,81.75,55
Atl. Tucuman,14554,Club Atlético Tucumán,3,81.83,61
Partick,2760,Partick Thistle FC,3,81.83,56
Espanol,714,RCD Espanyol Barcelona,3,81.83,48
Germinal,566,Germinal Beerschot Antwerpen,3,81.83,44
Estudiantes L.P.,288,Club Estudiantes de La Plata,3,81.92,64
Petrolul,9465,Petrolul Ploiesti,3,81.92,64
Latina,22045,US Latina Calcio,3,81.92,55
Tours,3161,Tours FC,3,81.92,77
Pescara,2921,Delfino Pescara 1936,3,82,52
Murcia,171,Real Murcia CF,3,82,60
Ajaccio GFCO,3558,GFC Ajaccio,3,82,61
Wehen,108,SV Wehen Wiesbaden,3,82.08,43
Derby,22,Derby County,3,82.17,59
Tianjin Jinmen Tiger,3187,Tianjin Teda,3,82.25,62
Vejle,443,Vejle Boldklub,3,82.25,53
